species,treecover_2000,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018
Accipiter_gentilis1,11607168741945.305,19106269708.607258,32888201506.2672,30465703259.95952,43465547876.22145,34388097931.4026,35077967515.47585,33715873476.088406,35800319893.5775,25335669643.997448,29472750280.471863,35165125128.02603,52467627845.63093,54114000609.62651,42651034696.90423,40108967088.21336,51079128580.67545,58227052954.589325,55031420945.60977
Accipiter_gentilis3,756299448857.5615,470575289.74828136,619451247.2950778,610483854.4246093,915650545.9586717,914224049.161172,1250174618.7431257,1429945819.116562,1298838297.825625,1119508568.634843,1028785365.4573436,1012789654.5170312,1159691181.2575786,1495537964.9289837,1676560125.0918748,1813604906.503829,3093176749.738123,2790809002.1417985,1840699646.988516
Accipiter_nisus1,2225916513164.5684,900281734.5730463,1107519034.701953,1364464586.1497655,1943386853.3393755,2020883088.705782,1952571865.8926547,2610575474.6175003,2270471207.8389072,2297928260.18469,3103777591.836721,5490587283.017486,2691269349.8234377,1883298846.8979695,2219524721.9746885,2154547021.284296,3694695012.64383,4845409230.966724,3822482637.3921866
Accipiter_nisus2,5397895060050.935,8333610205.296484,13493222055.357347,15872795640.016087,18509494864.147427,7441805182.382423,12175925146.133827,13199753108.51302,17444016731.0561,11476383561.84875,8743767839.592884,14177724697.055775,31520577185.275143,30812241454.642757,24740490155.32143,12506780944.685226,29495959208.8011,33212839696.260017,32510302803.48515
Accipiter_nisus3,1779869598283.6262,319945115.35031265,432282935.90640616,555249975.4298437,895793485.8020314,936817632.4404688,1526852064.3856258,2205398104.324531,2150341760.4453135,2172447907.8818746,1936696444.2576559,1841720213.85422,2404478823.155937,2721881457.276717,3175323987.831093,3416683424.417657,5516845664.515465,4581936289.881254,3276341423.3571897
Bucephala_clangula2,8512419915238.138,14796010219.611256,27383068651.784447,25862242601.36554,36612769709.4244,29205238417.046608,29112366995.210014,25312841441.158813,28357643506.148273,20277223134.81321,24298484951.3996,28602841192.645782,46115315232.465416,49086515168.89872,37781607170.56503,34316689775.635693,42944221592.208885,48108211003.250175,45267461196.65393
Bucephala_clangula3,3842134240104.476,10012661408.831644,10411274746.861721,8769188547.789139,12481077047.08625,10976017986.501331,12040909245.748432,14530130083.56734,13865095115.992891,9806904100.69258,10032573214.2511,10186297626.449692,12391588934.416723,10543835074.902346,11132307399.199223,11486819849.591341,14729981377.68891,16097905641.64624,14217653896.933437
Coccyzus_americanus1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coccyzus_americanus2,1676605396469.5437,7215663314.821095,6366352648.95125,5535400757.188435,7125287244.103905,7656348939.147659,7714187525.154997,7946350138.088745,7540630158.630317,5982026750.922191,7103284919.267974,6866233142.459381,7780561389.105625,6795012069.757501,6969077405.503446,7166589180.690946,8651083625.579853,9451301847.696249,7130814606.971565
Coccyzus_americanus3,8053971618576.357,15689825106.26686,23840300410.79721,23575138551.3953,30326530859.2866,27643107719.113583,20984160222.407814,20611059011.31516,20854528787.08796,14288541896.301237,21664142444.728558,17564184830.119053,22587777546.06357,14057083223.22375,16968458504.691391,15077660017.296885,40647074008.58527,30733903488.10873,19424604967.23468
Contopus_cooperi2,3969062889380.911,9481428985.472034,18379378408.092117,13206338727.479929,21969383825.5418,23711335930.19258,20985585719.05461,17558603962.769844,15496711768.477415,11344879790.971949,17201989866.830296,15222461013.02609,17777544804.39141,20432280109.563217,14448498119.441557,25841044942.958923,18373775650.254063,19796196557.54614,18993143716.174374
Contopus_cooperi3,6653830012719.508,10484056349.344677,15954359709.69612,14862640588.006878,20197519896.2544,18868626778.538727,13535098977.01656,11375338430.478909,11609373696.634373,7947297227.677184,11328953137.602808,8374732928.56249,11864185929.742329,6211688127.219997,9141203225.16656,8055755117.505313,23636954787.653618,18752402021.43996,11787348196.780777
Cuculus_canorus2,9161597274178.09,9539945451.69336,15229600540.579922,17742627687.196487,21569676531.67007,10232755396.957277,15363238745.343447,17529616102.769817,21757476249.350067,15517349000.886557,13472737162.164831,21368735009.665787,36035842131.227325,34447480991.14971,29165889097.709137,16841325686.862816,36884548163.18584,41010429180.43735,38819621621.530365
Cuculus_canorus3,4857548005847.71,1835152999.424844,1923430106.3109372,1481238962.0009372,1849889672.620313,2398665624.859219,2840329604.036093,2511902605.902656,2314720863.489063,3302381778.2257824,3664248767.864843,2718301904.410625,3995141971.710469,5185496141.787967,5920423720.351404,5415582802.7196865,7998005693.300312,8192971320.934374,5501672161.189847
Onychorhynchus_coronatus1,5365557819957.295,7200601657.7639,10480615231.632343,8499419359.651722,12894050031.77091,14630092616.716206,10484424013.404062,7996648312.686252,8569396865.365161,5900024318.540778,8194807110.395926,5782597243.8259325,8609841785.118114,5219276805.459532,7358616991.973594,6756687976.793751,24058796846.10685,12258489550.840776,9919649362.808123
Tringa_ochropus2,5560839213636.744,8241085027.434448,13212962731.48868,16129611184.434841,18029041932.81696,8266966764.520555,12938786146.039612,14362713615.608955,18382725523.449684,11951881793.074762,9477455394.884674,18381838934.57358,32525013049.160614,31446884061.76782,25399834281.039623,13752918515.5439,30177328056.284058,34767542199.861206,33602184808.70702
Tringa_ochropus3,7008194659655.12,3883878940.2523413,4508026876.992813,2915032284.711873,5452431753.6910925,5929474185.683428,6957302734.151097,8183562191.619532,8273827939.119998,11928852724.204844,10971341035.914387,10858393041.468138,13379486917.2972,11709590698.710146,14650239298.902206,12460589765.730942,17414497581.090622,15839586663.701406,11455137125.400007
Tringa_solitaria2,2555942156982.7554,5842471790.787421,13309853876.390707,9322419817.28289,16944977625.109146,20004193000.15197,15926039643.11548,11200375192.35445,9250454099.919607,7782916421.548273,13884999158.04038,11446409836.084372,13101360898.246479,16145675065.46127,9516135720.91891,20767562886.726105,11601161665.437029,12504272794.63358,10772326215.944838
Tringa_solitaria3,8965226271338.432,16222612504.510143,24623100707.961903,24494442727.006718,31081500790.84504,29060235891.107624,22172612983.165485,22370972993.02719,22094501722.469986,16103026394.392176,23244038944.085903,18588143308.510773,23542349751.12764,15174729981.600618,18003637050.090767,16265050328.7886,44093287126.105736,34734314010.11172,20656302881.44826
Vireo_olivaceus1,6972061316688.638,13743468234.974371,21291226956.231438,20357518324.29657,25991561917.700974,22853331989.64984,17619341877.48751,15670003729.415482,14116926578.387032,9790843553.523277,14827558356.678587,11096176746.917336,16707874712.416862,9998752755.229843,13206513057.86468,11988870753.101091,35146261287.888565,25686031289.18624,15620936860.260931
Vireo_olivaceus2,4781279643595.302,15813389713.83953,19115320435.75796,16728982031.063744,23540154696.445774,24362343390.152195,22182811110.753983,24037525149.97794,23402784561.157642,16756272125.847809,21760802435.337803,22482992855.60672,25553342483.81399,18849772550.431026,20287165585.56563,27084548978.820637,27020123358.448196,25790739690.106083,21770455079.567417
